id;label;entry_link;invitation_link;interview_result;rate;started_at;ended_at;comments;application_id
1;emanate;naturally flourish;so beside same;true;30434.42;2024-05-24;2024-05-23;couch;1
2;idealistic taut;usable;humor parole pickle;true;23133.04;2024-05-24;2024-05-24;wicked wipe;2
3;several ouch;mmm hanger how;muted wherever instead;false;13320.34;2024-05-24;2024-05-24;unnaturally;3
4;tightly psst;incidentally learning;miserably;true;19539.99;2024-05-24;2024-05-23;once;4
5;hm strident;conscious pace than;personal micronutrient;false;32676.82;2024-05-24;2024-05-23;outstanding wish;5
6;tightly;dizzy mean ah;while refer sidewalk;true;27522.59;2024-05-24;2024-05-23;around regarding;6
7;vaguely while coolly;how aboard that;now greedily punctual;false;7084.42;2024-05-24;2024-05-24;near frightened calmly;7
8;hock although thankfully;bah draw government;shelve blindside inflammation;false;9126.27;2024-05-23;2024-05-23;more nutrient;8
9;science;whose;apropos furthermore;true;8818.92;2024-05-24;2024-05-24;when than;9
10;few meander;funny if openly;short-term consequently;false;8310.95;2024-05-24;2024-05-24;sweatshop;10
