id;label;type;description;standard;doc_link;doc_link_content_type;owner_id
1;because perfectly;FREELANCE;meanwhile approximate frantically;false;../fake-data/blob/hipster.png;image/png;1
2;reopen justly;CDI;phooey overemphasize;true;../fake-data/blob/hipster.png;image/png;2
3;at;CDI;elegantly;false;../fake-data/blob/hipster.png;image/png;1
4;now though supply;REMOTE;excluding;true;../fake-data/blob/hipster.png;image/png;1
5;coaxingly unfinished;REMOTE;below;false;../fake-data/blob/hipster.png;image/png;2
6;pish about;MISSION;hmph belittle;false;../fake-data/blob/hipster.png;image/png;1
7;hence warmly;FREELANCE;weekend whereas excluding;true;../fake-data/blob/hipster.png;image/png;1
8;vacate;CDD;majestically parade;true;../fake-data/blob/hipster.png;image/png;1
9;rightfully enthusiastically;CDD;crazy though;true;../fake-data/blob/hipster.png;image/png;2
10;visualize deficient rubbish;REMOTE;finally pile prospect;true;../fake-data/blob/hipster.png;image/png;1
